Забрянский;Вадим;Аркадиевич;М;02.01.1990;719-082-936 73
Изволова;Жанна;Василевна;Ж;26.12.1975;891-368-108 31
Малехина;Алла;Кирилловна;Ж;06.05.1964;367-600-789 05
Почитаньев;Григорий;Игоревич;М;08.08.1963;421-511-620 22
Чуфорова;Мария;Ивановна;Ж;28.04.1944;271-579-836 14
Скромыслов;Денис;Леонидович;М;12.01.1969;917-697-313 33
Гужевников;Юрий;Алексиевич;М;03.02.1990;740-967-688 64
Кинеева;Яна;Олеговна;Ж;12.07.1950;772-598-642 76
Мориничева;Тамара;Романовна;Ж;04.09.2002;756-506-429 55
Шитакова;Екатерина;Андреевна;Ж;16.08.2003;979-514-989 66
Подвигина;Инна;Яковлевна;Ж;04.02.1950;738-565-240 90
Талыгин;Артур;Виталиевич;М;20.01.1998;205-449-290 30
Шабанкин;Кирилл;Петрович;М;14.12.1956;382-635-453 25
Кубарькова;Виолетта;Вадимовна;Ж;12.02.1962;679-496-401 08
Давыдулин;Константин;Виталиевич;М;26.08.1976;700-493-857 99
Кокорхина;Марина;Эдуардовна;Ж;07.11.1962;292-496-107 26
Селидовкин;Андрей;Вадимович;М;04.12.2003;713-846-444 42
Бероникова;Алла;Сергеевна;Ж;07.07.1960;076-277-737 00
Кантовский;Владислав;Валериевич;М;27.01.1966;618-551-423 82
Выркова;София;Яковлевна;Ж;27.08.1972;545-781-990 87
Зорипова;Вера;Ивановна;Ж;19.11.1958;202-333-951 02
Миргоязова;Любовь;Сергеевна;Ж;26.01.1944;885-111-854 21
Шиновников;Артур;Игоревич;М;06.04.1970;716-958-450 42
Сайдина;Евгения;Аркадьевна;Ж;28.05.1979;805-121-604 44
Чирьев;Виктор;Андреевич;М;01.10.1982;480-955-474 78
Початкин;Григорий;Юриевич;М;01.04.1994;582-242-415 75
Чувашов;Аркадий;Петрович;М;13.07.1973;828-411-196 32
Балецкий;Яков;Виталиевич;М;22.05.1998;644-577-393 90
Хадикова;Алиса;Алексеевна;Ж;21.10.1975;689-860-708 74
Касошкина;Анна;Богдановна;Ж;18.07.1957;728-642-866 99
Болнокина;Алиса;Николаевна;Ж;09.07.1988;869-697-295 40
Фирковский;Вячеслав;Георгиевич;М;29.03.1961;119-348-379 18
Меченов;Аркадий;Леонидович;М;09.06.1997;574-379-451 46
Бригин;Антон;Валериевич;М;06.02.1970;373-168-228 47
Ботов;Иван;Леонидович;М;24.04.1952;608-180-583 39
Шкаропаров;Пётр;Олегович;М;26.12.2008;897-197-043 26
Кудринская;Елена;Валерьевна;Ж;02.12.2004;558-451-829 85
Затаряев;Геннадий;Виталиевич;М;28.11.1946;028-083-211 35
Азацкий;Геннадий;Алексеевич;М;20.08.1978;633-107-068 21
Феськов;Владислав;Леонидович;М;30.05.1963;047-088-524 40
Бисярин;Артур;Викторович;М;28.03.1988;877-951-564 72
Сеньгунов;Михаил;Михаилович;М;30.10.1984;240-104-009 41
Ниязматова;Юлия;Романовна;Ж;22.10.1957;865-617-832 42
Турмасов;Герасим;Петрович;М;03.05.2003;465-398-774 30
Сяинов;Антон;Михаилович;М;09.03.1993;393-590-920 08
Байраков;Максим;Аркадиевич;М;10.03.1950;021-467-224 93
Раваева;Ксения;Егоровна;Ж;23.08.1989;092-862-652 38
Семьина;Кристина;Алексеевна;Ж;18.10.1979;299-268-031 89
Охов;Аркадий;Викторович;М;16.07.1961;638-633-858 12
Коричева;Валерия;Никитична;Ж;08.08.2000;903-039-138 24
Цеханская;Виктория;Аркадьевна;Ж;12.03.1957;096-102-574 12
Вашкина;Наталия;Михайловна;Ж;17.09.1963;484-360-970 32
Перетурина;Юлия;Федоровна;Ж;21.06.1960;484-578-347 97
Шуватова;Юлия;Андреевна;Ж;06.04.1949;927-617-689 49
Целомудров;Григорий;Фёдорович;М;06.02.1989;247-407-076 34
Ирмияев;Семён;Георгиевич;М;27.02.1951;763-462-290 04
Огнков;Олег;Георгиевич;М;21.08.1977;000-361-266 00
Зубиков;Вячеслав;Алексиевич;М;02.07.1993;497-371-809 76
Хрипанков;Альберт;Фёдорович;М;05.01.1955;125-615-262 90
Лохматиков;Антон;Аркадиевич;М;20.10.1960;824-819-434 41
Лесничков;Эдуард;Алексиевич;М;24.07.1951;009-579-206 39
Баранчеева;Алёна;Яковлевна;Ж;25.05.1947;647-994-602 36
Затаряев;Геннадий;Виталиевич;М;28.11.1946;028-083-211 35
Блоховская;Мария;Игоревна;Ж;23.02.1979;236-374-814 35
Хотчинский;Михаил;Петрович;М;11.05.2005;661-377-072 17
Конокотов;Василий;Аркадиевич;М;01.08.1959;125-802-161 53
Луковенков;Михаил;Виталиевич;М;28.08.1954;852-522-189 61
Полибанов;Владимир;Адамович;М;01.11.1966;152-080-129 92
Федорикова;Ирина;Андреевна;Ж;27.04.2000;464-822-954 67
Свергулова;Елизавета;Дмитриевна;Ж;10.12.2000;942-328-070 75
